price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,age
9450.0,2014.0,honda,3,4,gas,164514.0,clean,7.0
5000.0,2007.0,toyota,4,4,gas,157373.0,clean,14.0
24995.0,2008.0,chevrolet,4,8,diesel,163964.0,clean,13.0
30995.0,2011.0,chevrolet,4,8,diesel,149415.0,clean,10.0
23995.0,2009.0,ram,4,6,diesel,147033.0,clean,12.0
23995.0,2015.0,ford,3,8,diesel,192783.0,clean,6.0
28995.0,2012.0,ford,4,8,diesel,133181.0,clean,9.0
29995.0,2013.0,chevrolet,4,8,diesel,169511.0,clean,8.0
28995.0,2012.0,ram,4,6,diesel,142062.0,clean,9.0
24995.0,2014.0,chevrolet,4,8,gas,119976.0,clean,7.0
28995.0,2013.0,chevrolet,4,8,diesel,195100.0,clean,8.0
20995.0,2012.0,toyota,4,6,gas,125691.0,clean,9.0
14995.0,2013.0,toyota,4,4,gas,178871.0,clean,8.0
24995.0,2008.0,chevrolet,4,8,diesel,163964.0,clean,13.0
10500.0,2013.0,ford,3,4,gas,122532.0,clean,8.0
5995.0,2008.0,jeep,4,6,gas,147970.0,clean,13.0
5995.0,2009.0,nissan,4,4,gas,163303.0,clean,12.0
3677.0,2005.0,acura,4,4,gas,171000.0,rebuilt,16.0
6477.0,2010.0,acura,4,4,gas,131000.0,rebuilt,11.0
6200.0,2008.0,cadillac,4,6,gas,164000.0,clean,13.0
13500.0,2010.0,bmw,4,8,gas,114000.0,clean,11.0
23500.0,2012.0,porsche,4,6,gas,111000.0,clean,9.0
6500.0,2014.0,kia,4,4,gas,150000.0,clean,7.0
4200.0,2007.0,nissan,4,6,gas,201000.0,clean,14.0
6000.0,1998.0,chevrolet,3,8,gas,218000.0,clean,23.0
4800.0,2009.0,chevrolet,4,6,gas,187790.0,clean,12.0
5995.0,2005.0,lexus,4,6,gas,191425.0,clean,16.0
6995.0,2013.0,hyundai,4,4,gas,131531.0,clean,8.0
7995.0,2013.0,chrysler,4,6,gas,115775.0,clean,8.0
7995.0,2013.0,ford,4,4,gas,149960.0,clean,8.0
3500.0,2009.0,honda,2,4,gas,165290.0,rebuilt,12.0
13500.0,2002.0,jeep,4,6,gas,128000.0,clean,19.0
21700.0,2014.0,gmc,3,8,gas,147774.0,clean,7.0
2995.0,2002.0,nissan,4,6,gas,169000.0,clean,19.0
